# ANA B787 AOM PI.20.26  Flap Maneuver Speed  /  Sea Level Pressure Altitude
"# Effect. DEC 16, 2024  Rev.34   All Engines   speeds in KIAS"
# Flaps 25 maneuver speed based on VREF25 / Flaps 30 maneuver speed based on VREF30
# NOTE: 787-10 shows UP=234 at BOTH 440 and 420 (as printed; verify against original)
VARIANT,WEIGHT_1000LB,FLAP,KIAS
787-9/TRENT1000-K,340,5,176
787-9/TRENT1000-K,340,10,161
787-9/TRENT1000-K,340,15/17/18,156
787-9/TRENT1000-K,340,20,151
787-9/TRENT1000-K,340,25,141
787-9/TRENT1000-K,340,30,136
787-9/TRENT1000-K,320,UP,212
787-9/TRENT1000-K,320,1,187
787-9/TRENT1000-K,320,5,172
787-9/TRENT1000-K,320,10,157
787-9/TRENT1000-K,320,15/17/18,152
787-9/TRENT1000-K,320,20,147
787-9/TRENT1000-K,320,25,136
787-9/TRENT1000-K,320,30,132
787-9/TRENT1000-K,300,UP,208
787-9/TRENT1000-K,300,1,183
787-9/TRENT1000-K,300,5,168
787-9/TRENT1000-K,300,10,153
787-9/TRENT1000-K,300,15/17/18,148
787-9/TRENT1000-K,300,20,143
787-9/TRENT1000-K,300,25,132
787-9/TRENT1000-K,300,30,127
787-9/TRENT1000-K,280,UP,205
787-9/TRENT1000-K,280,1,180
787-9/TRENT1000-K,280,5,165
787-9/TRENT1000-K,280,10,150
787-9/TRENT1000-K,280,15/17/18,145
787-9/TRENT1000-K,280,20,139
787-9/TRENT1000-K,280,25,127
787-9/TRENT1000-K,280,30,124
787-9/TRENT1000-D,560,UP,253
787-9/TRENT1000-D,560,1,238
787-9/TRENT1000-D,560,5,208
787-9/TRENT1000-D,560,10,198
787-9/TRENT1000-D,560,15/17/18,193
787-9/TRENT1000-D,560,20,188
787-9/TRENT1000-D,560,25,179
787-9/TRENT1000-D,560,30,174
787-9/TRENT1000-D,540,UP,253
787-9/TRENT1000-D,540,1,238
787-9/TRENT1000-D,540,5,208
787-9/TRENT1000-D,540,10,197
787-9/TRENT1000-D,540,15/17/18,192
787-9/TRENT1000-D,540,20,187
787-9/TRENT1000-D,540,25,178
787-9/TRENT1000-D,540,30,172
787-9/TRENT1000-D,520,UP,253
787-9/TRENT1000-D,520,1,236
787-9/TRENT1000-D,520,5,208
787-9/TRENT1000-D,520,10,194
787-9/TRENT1000-D,520,15/17/18,189
787-9/TRENT1000-D,520,20,184
787-9/TRENT1000-D,520,25,175
787-9/TRENT1000-D,520,30,169
